Código,Nombre,Código de Barras,SKU,Servicio,Uses,Costo,Precio,IVA,IEPS,SAT code,Proveedor,Categorías,AppliesTo
16,Cable UTP categoría 5e con aleación gris.,"[""SBE-1101D-GY""]",SBE-1101D-GY,TRUE,No,,36.69,16,0,26121600,Sbe Tech,Cableado en Cobre,"[""store"",""eshop"",""retailer""]"
17,Cable UTP categoría 5e gris.,"[""SBE-UTPC5ECU-GY""]",SBE-UTPC5ECU-GY,TRUE,No,,76.00,16,0,26121600,Sbe Tech,Cableado en Cobre,"[""store"",""eshop"",""retailer""]"
18,Caja de Distribución para FTTx para exterior de 2x8,"[""SBE-CDEXTFTTX2X8""]",SBE-CDEXTFTTX2X8,TRUE,No,,22.05,16,0,43223300,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
19,Caja de Distribución para FTTx para exterior de 2x12. IP 65.,"[""SBE-CDEXTFTTX2X12NL""]",SBE-CDEXTFTTX2X12NL,TRUE,No,,24.68,16,0,43223300,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
20,Caja de Distribución para FTTx para exterior de 2x24. IP 65.,"[""SBE-CDEXTFTTX2X24NL""]",SBE-CDEXTFTTX2X24NL,TRUE,No,,28.46,16,0,43223300,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
21,Caja de Distribución para FTTx para exterior de 2x48. IP 65.,"[""SBE-CDEXTFTTX2X48NL""]",SBE-CDEXTFTTX2X48NL,TRUE,No,,40.42,16,0,43223300,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
22,Caja terminal de 4 puertos (Para 2 conectores),"[""SBE-CTFO4PNL""]",SBE-CTFO4PNL,TRUE,No,,2.33,16,0,43223300,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
23,Caja Universal 2 x 4,"[""SBE-CUNIV-N""]",SBE-CUNIV-N,TRUE,No,,0.70,16,0,39121300,Sbe Tech,Cableado en Cobre,"[""store"",""eshop"",""retailer""]"
24,Caja Universal reforzada 2 x 4,"[""SBE-CUNIV2""]",SBE-CUNIV2,TRUE,No,,0.70,16,0,39121300,Sbe Tech,Cableado en Cobre,"[""store"",""eshop"",""retailer""]"
25,Charola deslizable de 19 X 10 para teclado P/Rack.,"[""SBE-CDES1910R""]",SBE-CDES1910R,TRUE,No,,38.00,16,0,39131704,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
